ID,partNo,description,traceability,spec,supplier_ID,stockQty,reorderPoint
90194194-953b-4f62-b2b7-bfc76b8d628a,MOT-DS-55,"Drehstrommotor 400V 5,5kW",SERIALIZED,"400V/5,5kW",9c9d7a85-3fee-47d6-ad1a-7a44ec1e2925,18,10
d73647ed-2c25-4925-8ccd-ffaadc0326d7,V-100-10B,Sicherheitsventil 10 bar,SERIALIZED,10 bar,3872e8d6-4b88-4f09-967e-8066cd8f187a,6,12
50a98417-b614-4dab-b3d5-bd357b569c1c,V-100-08B,Sicherheitsventil 8 bar,SERIALIZED,8 bar,3872e8d6-4b88-4f09-967e-8066cd8f187a,40,15
0b5cb0e9-1354-41e1-98c0-b36c43bd83b3,OS-220,Oelabscheidebehaelter,SERIALIZED,,3872e8d6-4b88-4f09-967e-8066cd8f187a,22,10
7fdd9b5e-abe9-468a-8a36-d4cf9e3ef98a,KB-440,Leistungskabelbaum vorgeb.,BATCH,,33dfb2f6-0403-4121-9ca1-b7e9eb9e5307,28,15
7c401197-8c6c-40bf-adf0-f13857f06b9d,SS-700,Schaltschrank,SERIALIZED,,7ebc34b2-aef6-47e9-a0c8-8a72dd9e627b,14,8
a88adc15-405d-492d-84b7-a8046a56de5b,FAN-120,Lueftermotor,KANBAN,,a09e077a-bde0-419e-8b42-5843a0d40913,85,30
4c021d7e-b87e-4aa1-95ed-fce5653ded5a,AN-EU,Druckluftanschluss EU,SERIALIZED,EU,3872e8d6-4b88-4f09-967e-8066cd8f187a,65,20
a3514a86-f23b-4592-a652-a63a1cfc4c53,AN-US,Druckluftanschluss US,SERIALIZED,US,3872e8d6-4b88-4f09-967e-8066cd8f187a,12,20
6f54c3fa-51ba-41d4-be3c-a2f115df7047,RO-300,Rohrsatz,KANBAN,,a09e077a-bde0-419e-8b42-5843a0d40913,240,60
d59a91a9-1c1e-47bc-a8e0-4b5397545c3e,DG-310,Dichtgummi Verrohrung,BATCH,,33dfb2f6-0403-4121-9ca1-b7e9eb9e5307,4,20
e0979d50-6253-4823-ac10-b9dfaf8f80eb,N-001,Schraubensatz,KANBAN,,a09e077a-bde0-419e-8b42-5843a0d40913,4200,1000
95edb8de-e855-4d51-a626-1fae7dc4f713,N-002,Dichtungssatz,KANBAN,,a09e077a-bde0-419e-8b42-5843a0d40913,1800,500
